PARENT_SITE_ORG,CHILD_SITE_ORG,SCTR_MBR_NM,CURC,YEAR_MON,SCENARIO,AMT
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],AsLogic,USD K,2014_Jun,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,NTD K,2014_Jun,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEJP],TeLogic,USD K,2014_Dec,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Nov,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherR_Group].[ADVANCEDSHr],TeLogic,NTD K,2014_Jun,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEJP],TeLogic,NTD K,2014_Feb,ForecastV2,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[AUElim],BGA,NTD K,2014_Dec,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,USD K,2014_Feb,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],AsLogic,USD K,2014_Apr,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETCL],TeLogic,NTD K,2014_Jul,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,USD K,2014_Jul,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],AsLogic,NTD K,2014_Aug,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],AsLogic,NTD K,2014_Apr,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[M_Group Elim].[MGroupElim],BGA,USD K,2014_Jan,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,USD K,2014_May,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[RealEstate Total-Consol],ReEstate,USD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],AsLogic,USD K,2014_Jul,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECLELIM],AsLogic,USD K,2014_Oct,Actual,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,NTD K,2014_Jan,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[EMS_Group Total-Elim],EMSEMS,NTD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],AsLogic,NTD K,2014_Nov,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Jul,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],AsLogic,USD K,2014_May,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],BGA,NTD K,2014_Apr,ForecastV2,1
